any_selected_count,attack,attack_state,audit_truth,backup_selected_count,below_threshold,group,oracle,period,primary_selected_count,reputation
5,OOA,reference,0.375,0,True,trusted_reference,24,5,5,0.4268044616741911
26,OOA,honest,0.75,5,False,attacked,4,6,21,0.7010545579449787
10,OOA,honest,0.36363636363636365,0,True,attacked,19,6,10,0.3268974566451305
0,OOA,honest,0.3076923076923077,0,True,attacked,29,6,0,0.24307267677094735
0,OOA,reference,0.46153846153846156,0,True,trusted_reference,3,6,0,0.44759614106060563
10,OOA,reference,0.6,10,True,trusted_reference,14,6,0,0.3636583876785154
0,OOA,reference,0.375,0,True,trusted_reference,24,6,0,0.4187591862203536
38,OOA,honest,0.6666666666666666,0,False,attacked,4,7,38,0.6487267333930395
6,OOA,honest,0.36363636363636365,0,True,attacked,19,7,6,0.4132047537561139
0,OOA,honest,0.3076923076923077,0,True,attacked,29,7,0,0.3005699193100719
0,OOA,reference,0.46153846153846156,0,False,trusted_reference,3,7,0,0.4603605706581583
6,OOA,reference,0.6,6,False,trusted_reference,14,7,0,0.45022560996247246
0,OOA,reference,0.375,0,True,trusted_reference,24,7,0,0.4148170012479732
49,OOA,honest,0.5384615384615384,16,False,attacked,4,8,33,0.4722549107552101
5,OOA,honest,0.46153846153846156,0,False,attacked,19,8,5,0.5182403992705658
0,OOA,honest,0.3076923076923077,0,True,attacked,29,8,0,0.3387435681542429
17,OOA,reference,0.4,17,True,trusted_reference,3,8,0,0.38414900198979746
19,OOA,reference,0.5625,4,True,trusted_reference,14,8,15,0.4444935488816114
0,OOA,reference,0.375,0,True,trusted_reference,24,8,0,0.41288533061150684
18,OOA,malicious,0.3181818181818182,0,True,attacked,4,9,18,0.0
