attack,attack_any_count,attack_any_rate,attack_backup_count,attack_below_threshold_count,attack_mean_reputation,attack_primary_count,attack_primary_rate,attack_state,mode_count_parallel_fast,mode_count_serial_safe,mode_count_single_safe,mode_rate_parallel_fast,mode_rate_serial_safe,mode_rate_single_safe,period,requests,trusted_any_count,trusted_any_rate,trusted_below_threshold_count,trusted_mean_reputation,trusted_primary_count,trusted_primary_rate
ME,60,1.0,0,3,0.0,60,1.0,malicious,34,26,,0.5666666666666667,0.43333333333333335,,39,60,60,1.0,2,0.2840430041743111,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,27,33,,0.45,0.55,,40,60,60,1.0,2,0.1798512790869012,0,0.0
ME,60,1.0,0,3,0.0,60,1.0,malicious,29,31,,0.48333333333333334,0.5166666666666667,,41,60,60,1.0,2,0.1996305491526147,0,0.0
ME,60,1.0,0,3,0.006238447333333337,60,1.0,malicious,26,34,,0.43333333333333335,0.5666666666666667,,42,60,60,1.0,2,0.21642700671918977,0,0.0
ME,60,1.0,2,3,0.007197684337690287,58,0.9666666666666667,malicious,24,36,,0.4,0.6,,43,60,60,1.0,2,0.2582598719194211,2,0.03333333333333333
ME,60,1.0,40,3,0.003429855072463769,20,0.3333333333333333,malicious,26,34,,0.43333333333333335,0.5666666666666667,,44,60,60,1.0,3,0.26646463760114963,40,0.6666666666666666
ME,60,1.0,0,3,0.0,60,1.0,malicious,34,26,,0.5666666666666667,0.43333333333333335,,45,60,60,1.0,2,0.2177100788313623,0,0.0
ME,60,1.0,2,3,0.0,58,0.9666666666666667,malicious,27,33,,0.45,0.55,,46,60,60,1.0,2,0.23450074508465865,2,0.03333333333333333
ME,60,1.0,0,3,0.0,60,1.0,malicious,30,30,,0.5,0.5,,47,60,60,1.0,2,0.2385474786107953,0,0.0
ME,60,1.0,10,3,0.0,50,0.8333333333333334,malicious,29,31,,0.48333333333333334,0.5166666666666667,,48,60,60,1.0,2,0.3017486756199503,10,0.16666666666666666
ME,60,1.0,9,3,0.0024372759856630824,51,0.85,malicious,31,29,,0.5166666666666667,0.48333333333333334,,49,60,60,1.0,2,0.3097546335991546,9,0.15
ME,60,1.0,10,3,0.0,50,0.8333333333333334,malicious,36,24,,0.6,0.4,,50,60,60,1.0,2,0.27093026235434675,10,0.16666666666666666
OOA,60,1.0,0,0,0.5738000479098663,60,1.0,base,32,28,,0.5333333333333333,0.4666666666666667,,1,60,42,0.7,1,0.43125628310626357,0,0.0
OOA,60,1.0,0,0,0.5851304672546243,60,1.0,base,27,33,,0.45,0.55,,2,60,38,0.6333333333333333,1,0.44403313844219755,0,0.0
OOA,46,0.7666666666666667,0,2,0.2525407951394181,46,0.7666666666666667,malicious,24,36,,0.4,0.6,,3,60,46,0.7666666666666667,1,0.4696338853351362,9,0.15
OOA,0,0.0,0,2,0.3030483302776555,0,0.0,honest,22,38,,0.36666666666666664,0.6333333333333333,,4,60,60,1.0,1,0.4725407135453787,60,1.0
OOA,0,0.0,0,2,0.34715702249539176,0,0.0,honest,26,34,,0.43333333333333335,0.5666666666666667,,5,60,43,0.7166666666666667,3,0.40377740438764825,43,0.7166666666666667
OOA,36,0.6,5,2,0.42367489712035217,31,0.5166666666666667,honest,26,33,1,0.43333333333333335,0.55,0.016666666666666666,6,60,10,0.16666666666666666,3,0.41000457165315823,0,0.0
OOA,44,0.7333333333333333,0,2,0.45416713548640847,44,0.7333333333333333,honest,30,30,,0.5,0.5,,7,60,6,0.1,1,0.441801060622868,0,0.0
